DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,TR_SCOND,SIZE,PRICE,TR_STOPIND,TR_CORR,TR_SEQNUM,TR_SOURCE,TR_RF
20140304,9:30:45.155,P,ACW,,Q,137,4.6,N,00,11945,C,
20140304,9:30:45.155,P,ACW,,@,137,4.6,N,00,11946,C,
20140304,9:30:45.155,P,ACW,,@,263,4.6,N,00,11947,C,
20140304,9:30:45.155,P,ACW,,@,200,4.6,N,00,11948,C,
20140304,9:30:45.156,N,ACW,,O,8201,4.62,N,00,11949,C,
20140304,9:30:45.188,N,ACW,,F,100,4.6,N,00,11951,C,
20140304,9:30:45.216,N,ACW,,@,100,4.6,N,00,11952,C,
20140304,9:30:45.241,D,ACW,,4,205,4.62,N,00,11955,C,T
20140304,9:30:54.172,K,ACW,,@,100,4.61,N,00,12451,C,
20140304,9:31:47.137,N,ACW,,@,200,4.65,N,00,17809,C,
20140304,9:31:47.139,N,ACW,,F,500,4.65,N,00,17810,C,
20140304,9:31:47.141,N,ACW,,I,90,4.65,N,00,17811,C,
20140304,9:31:51.504,N,ACW,,@,1800,4.71,N,00,18142,C,
20140304,9:31:51.522,D,ACW,,@,700,4.71,N,00,18143,C,T
20140304,9:32:17.504,N,ACW,,@,200,4.71,N,00,21098,C,
20140304,9:32:27.541,N,ACW,,@,1100,4.71,N,00,22043,C,
20140304,9:32:27.543,K,ACW,,@,800,4.7,N,00,22044,C,
20140304,9:32:27.555,K,ACW,,F,600,4.71,N,00,22045,C,
20140304,9:32:43.283,K,ACW,,@,200,4.71,N,00,23813,C,
20140304,9:32:43.546,N,ACW,,@,100,4.73,N,00,23838,C,
20140304,9:32:47.877,K,ACW,,@,100,4.75,N,00,24256,C,
20140304,9:32:55.370,N,ACW,,@,100,4.79,N,00,25305,C,
20140304,9:32:55.371,T,ACW,,F,100,4.77,N,00,25306,C,
20140304,9:32:55.371,T,ACW,,Q,100,4.77,N,00,25307,C,
20140304,9:32:55.618,N,ACW,,@,100,4.78,N,00,25332,C,
20140304,9:33:08.009,N,ACW,,F,100,4.77,N,00,27215,C,
20140304,9:33:08.036,B,ACW,,F,200,4.77,N,00,27216,C,
20140304,9:33:08.294,T,ACW,,F I,21,4.76,N,00,27264,C,
20140304,9:33:12.598,D,ACW,,@,100,4.76,N,00,27889,C,N
20140304,9:33:12.607,Z,ACW,,@,100,4.76,N,00,27890,C,
20140304,9:33:12.607,B,ACW,,@,100,4.76,N,00,27891,C,
20140304,9:33:12.608,N,ACW,,@,100,4.76,N,00,27892,C,
20140304,9:33:12.614,P,ACW,,@,100,4.74,N,00,27893,C,
20140304,9:33:12.615,N,ACW,,@,140,4.74,N,00,27894,C,
20140304,9:33:12.653,T,ACW,,@,100,4.76,N,00,27901,C,
20140304,9:33:12.659,T,ACW,,@,100,4.75,N,00,27902,C,
20140304,9:33:12.665,T,ACW,,@,100,4.74,N,00,27903,C,
20140304,9:33:12.665,Z,ACW,,I,60,4.75,N,00,27904,C,
20140304,9:33:12.671,N,ACW,,@,160,4.73,N,00,27906,C,
20140304,9:33:12.717,N,ACW,,F,100,4.73,N,00,27947,C,
20140304,9:34:00.222,P,ACW,,@,100,4.74,N,00,32718,C,
20140304,9:34:00.223,N,ACW,,F,300,4.74,N,00,32720,C,
20140304,9:34:00.250,B,ACW,,F,100,4.74,N,00,32747,C,
20140304,9:34:00.250,T,ACW,,F,100,4.74,N,00,32748,C,
20140304,9:34:00.250,B,ACW,,F,100,4.74,N,00,32749,C,
20140304,9:34:32.047,D,ACW,,@,750,4.7202,N,00,36599,C,T
20140304,9:34:49.342,N,ACW,,@,100,4.76,N,00,38421,C,
20140304,9:35:03.680,D,ACW,,@,100,4.7525,N,00,40641,C,N
20140304,9:35:03.682,D,ACW,,@,300,4.758,N,00,40642,C,T
20140304,9:35:04.794,D,ACW,,@,100,4.7525,N,00,40781,C,N
20140304,9:35:04.797,D,ACW,,@,300,4.758,N,00,40784,C,T
20140304,9:35:06.065,D,ACW,,@,300,4.758,N,00,41027,C,T
20140304,9:35:06.067,D,ACW,,@,100,4.7525,N,00,41028,C,N
20140304,9:35:19.709,T,ACW,,@,200,4.76,N,00,43233,C,
20140304,9:35:35.474,B,ACW,,F,200,4.76,N,00,45526,C,
20140304,9:35:35.474,N,ACW,,F,100,4.76,N,00,45527,C,
20140304,9:35:35.518,D,ACW,,@,100,4.76,N,00,45534,C,T
20140304,9:36:27.554,N,ACW,,@,100,4.75,N,00,53048,C,
20140304,9:36:27.554,N,ACW,,F,100,4.74,N,00,53049,C,
20140304,9:36:27.554,N,ACW,,F,100,4.73,N,00,53050,C,
20140304,9:36:27.554,B,ACW,,F,100,4.75,N,00,53051,C,
20140304,9:36:27.554,B,ACW,,F,100,4.75,N,00,53052,C,
20140304,9:36:27.622,N,ACW,,F,100,4.76,N,00,53055,C,
20140304,9:36:33.699,D,ACW,,I,9,4.77,N,00,54169,C,T
20140304,9:37:02.970,D,ACW,,@,400,4.758,N,00,57266,C,T
20140304,9:37:04.289,D,ACW,,@,100,4.76,N,00,57355,C,N
20140304,9:37:04.292,D,ACW,,@,300,4.758,N,00,57356,C,T
20140304,9:37:05.915,D,ACW,,@,400,4.758,N,00,57536,C,T
20140304,9:37:07.557,K,ACW,,F I,4,4.76,N,00,57618,C,
20140304,9:37:09.383,K,ACW,,@,100,4.76,N,00,57835,C,
20140304,9:37:32.345,K,ACW,,I,96,4.765,N,00,60021,C,
20140304,9:37:32.405,N,ACW,,@,100,4.78,N,00,60022,C,
20140304,9:37:35.310,D,ACW,,@,100,4.78,N,00,60198,C,T
20140304,9:37:35.318,T,ACW,,F,100,4.78,N,00,60199,C,
20140304,9:37:35.318,P,ACW,,F,100,4.78,N,00,60200,C,
20140304,9:37:35.318,K,ACW,,F,100,4.78,N,00,60201,C,
20140304,9:37:35.434,N,ACW,,F,100,4.79,N,00,60210,C,
