DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,TR_SCOND,SIZE,PRICE,TR_STOPIND,TR_CORR,TR_SEQNUM,TR_SOURCE,TR_RF
20140304,9:30:00.674,T,ALG,,O X,100,52.3,N,00,7938,C,
20140304,9:30:00.675,T,ALG,,Q,100,52.3,N,00,7939,C,
20140304,9:31:13.562,N,ALG,,O,656,51.98,N,00,14498,C,
20140304,9:31:13.664,N,ALG,,F I,2,52,N,00,14507,C,
20140304,9:31:13.686,Z,ALG,,F I,5,52.03,N,00,14508,C,
20140304,9:31:14.298,P,ALG,,Q,3,52.06,N,00,14528,C,
20140304,9:31:14.298,P,ALG,,F I,3,52.06,N,00,14529,C,
20140304,9:32:36.676,D,ALG,,F,200,51.556,N,00,23304,C,T
20140304,9:33:01.320,D,ALG,,@,100,52.1,N,00,26193,C,T
20140304,9:33:03.638,D,ALG,,@,100,52.132,N,00,26673,C,T
20140304,9:37:48.021,P,ALG,,I,3,52.48,N,00,61196,C,
20140304,9:37:59.179,N,ALG,,@,100,52.47,N,00,62144,C,
20140304,9:37:59.179,N,ALG,,@,100,52.48,N,00,62145,C,
20140304,9:37:59.186,N,ALG,,F I,4,52.48,N,00,62153,C,
20140304,9:37:59.187,N,ALG,,F I,3,52.49,N,00,62154,C,
20140304,9:37:59.187,N,ALG,,F I,31,52.5,N,00,62155,C,
20140304,9:37:59.187,Z,ALG,,I,3,52.45,N,00,62156,C,
20140304,9:39:11.633,N,ALG,,F I,69,52.5,N,00,69445,C,
20140304,9:39:11.633,N,ALG,,F I,31,52.52,N,00,69446,C,
20140304,9:41:16.294,N,ALG,,@,100,52.68,N,00,84303,C,
20140304,9:45:02.036,Z,ALG,,I,2,52.45,N,00,103303,C,
20140304,9:45:02.037,Z,ALG,,I,3,52.52,N,00,103304,C,
20140304,9:45:40.971,D,ALG,,@,100,52.93,N,00,107512,C,N
20140304,9:45:52.123,P,ALG,,I,3,52.9,N,00,108665,C,
20140304,9:48:09.796,D,ALG,,I,84,52.9,N,00,120778,C,T
20140304,9:48:37.130,D,ALG,,@,100,52.9,N,00,123378,C,T
20140304,9:49:43.937,D,ALG,,I,1,52.39,N,00,129646,C,T
20140304,9:50:33.371,T,ALG,,@,200,52.67,N,00,134134,C,
20140304,9:50:45.697,D,ALG,,@,100,52.8999,N,00,135003,C,T
20140304,9:50:46.178,D,ALG,,@,100,52.85,N,00,135020,C,T
20140304,9:52:12.161,J,ALG,,I,4,52.9,N,00,145884,C,
20140304,9:53:09.198,J,ALG,,I,7,52.5,N,00,150566,C,
20140304,9:54:04.334,D,ALG,,@,100,52.83,N,00,154479,C,T
20140304,9:54:06.853,J,ALG,,F,100,52.83,N,00,154724,C,
20140304,9:54:06.853,P,ALG,,F I,2,52.83,N,00,154725,C,
20140304,9:54:06.853,K,ALG,,F I,98,52.93,N,00,154726,C,
20140304,9:54:10.033,K,ALG,,I,2,52.93,N,00,155024,C,
20140304,9:54:10.033,K,ALG,,I,1,52.95,N,00,155025,C,
20140304,9:55:12.549,T,ALG,,@,100,52.77,N,00,159689,C,
20140304,9:55:12.564,N,ALG,,@,100,53,N,00,159690,C,
20140304,9:59:18.545,Z,ALG,,I,7,52.96,N,00,179619,C,
20140304,9:59:18.546,Z,ALG,,I,4,53.02,N,00,179620,C,
20140304,9:59:18.546,Z,ALG,,I,11,53.1,N,00,179621,C,
20140304,9:59:18.562,J,ALG,,I,78,53.43,N,00,179622,C,
20140304,9:59:31.249,D,ALG,,@,100,53.43,N,00,180986,C,N
20140304,9:59:43.116,N,ALG,,I,8,53.32,N,00,181818,C,
20140304,9:59:43.116,N,ALG,,I,92,53.44,N,00,181819,C,
20140304,10:01:29.155,D,ALG,,F I,10,52.875,N,00,193442,C,T
20140304,10:02:06.113,D,ALG,,I,25,52.84,N,00,196692,C,T
20140304,10:02:46.549,N,ALG,,F,100,53.37,N,00,200499,C,
