DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,BIDEX,ASKEX,QU_SEQNUM,NATBBO_IND,NASDBBO_IND,QU_CANCEL,QU_SOURCE
20140304,4:00:00.645,P,ACW,,3.45,4,5.55,2,R,P,P,112,1,2,,C
20140304,6:18:32.352,P,ACW,,4.44,5,5.55,2,R,P,P,30253,1,2,,C
20140304,6:18:40.007,P,ACW,,4.43,5,5.55,2,R,P,P,30298,1,2,,C
20140304,6:18:42.492,P,ACW,,4.41,5,5.55,2,R,P,P,30303,1,2,,C
20140304,8:00:00.366,K,ACW,,4.06,2,6.85,50,R,K,K,54432,0,2,,C
20140304,8:10:06.827,P,ACW,,4.41,5,5.3,10,R,P,P,60956,1,2,,C
20140304,8:30:14.402,W,ACW,,0,0,0,0,R,W,W,76184,0,2,,C
20140304,8:35:08.181,T,ACW,,3.63,1,0,0,R,T,T,78307,0,2,,C
20140304,8:35:08.181,T,ACW,,3.63,1,6.23,1,R,T,T,78308,0,2,,C
20140304,9:20:49.185,Z,ACW,,4.33,1,0,0,R,Z,Z,142409,0,2,,C
20140304,9:20:49.185,Z,ACW,,4.33,1,4.6,1,R,Z,Z,142412,6,2,,C
20140304,9:20:49.186,T,ACW,,3.63,1,5.88,1,R,T,T,142425,0,2,,C
20140304,9:20:49.197,T,ACW,,3.63,1,5.41,1,R,T,T,142609,0,2,,C
20140304,9:21:35.301,P,ACW,,4.41,5,4.63,1,R,P,P,143509,0,2,,C
20140304,9:24:02.826,Z,ACW,,0,0,4.6,1,R,Z,Z,145370,0,2,,C
20140304,9:24:02.826,Z,ACW,,4.43,1,4.6,1,R,Z,Z,145371,1,2,,C
20140304,9:25:04.642,Z,ACW,,0,0,4.6,1,R,Z,Z,146774,6,2,,C
20140304,9:25:05.113,Z,ACW,,0,0,0,0,R,Z,Z,146979,6,2,,C
20140304,9:25:05.513,P,ACW,,4.41,5,4.74,9,R,P,P,147003,1,2,,C
20140304,9:25:05.521,T,ACW,,3.63,1,5.47,1,R,T,T,147007,0,2,,C
20140304,9:25:09.781,P,ACW,,4.41,5,4.9,1,R,P,P,147361,1,2,,C
20140304,9:25:09.783,P,ACW,,4.41,5,5.06,1,R,P,P,147365,1,2,,C
20140304,9:25:09.790,P,ACW,,4.41,5,5.23,1,R,P,P,147366,1,2,,C
20140304,9:25:09.796,P,ACW,,4.41,5,5.3,10,R,P,P,147369,1,2,,C
20140304,9:25:10.477,T,ACW,,3.63,1,5.88,1,R,T,T,147380,0,2,,C
20140304,9:25:58.769,T,ACW,,3.63,1,4.61,1,R,T,T,148431,6,2,,C
20140304,9:25:58.769,P,ACW,,4.41,5,4.71,1,R,P,P,148435,0,2,,C
20140304,9:25:58.769,T,ACW,,4.43,1,4.61,1,R,T,T,148436,1,2,,C
20140304,9:25:59.201,Z,ACW,,4.43,1,0,0,R,Z,Z,148717,0,2,,C
20140304,9:25:59.202,Z,ACW,,4.43,1,4.61,1,R,Z,Z,148724,0,2,,C
20140304,9:25:59.364,K,ACW,,4.43,1,6.85,50,R,K,K,148930,0,2,,C
20140304,9:25:59.364,K,ACW,,4.43,1,4.61,1,R,K,K,148939,0,2,,C
20140304,9:25:59.398,P,ACW,,4.41,5,4.61,1,R,P,P,149118,0,2,,C
20140304,9:25:59.398,P,ACW,,4.43,1,4.61,1,R,P,P,149125,0,2,,C
20140304,9:28:27.710,P,ACW,,4.49,1,4.61,1,R,P,P,152436,6,2,,C
20140304,9:28:27.865,Z,ACW,,4.49,1,4.61,1,R,Z,Z,152507,0,2,,C
20140304,9:28:27.928,K,ACW,,4.49,1,4.61,1,R,K,K,152574,0,2,,C
20140304,9:28:27.991,T,ACW,,3.63,1,4.61,1,R,T,T,152632,6,2,,C
20140304,9:28:27.991,T,ACW,,4.49,1,4.61,1,R,T,T,152634,0,2,,C
20140304,9:29:03.101,Y,ACW,,0,0,5.08,1,R,Y,Y,154409,0,2,,C
20140304,9:29:03.101,Y,ACW,,4.17,1,4.94,1,R,Y,Y,154410,0,2,,C
20140304,9:29:55.247,Y,ACW,,4.4,1,4.94,1,R,Y,Y,157717,0,2,,C
20140304,9:29:55.247,Y,ACW,,4.4,1,4.71,1,R,Y,Y,157718,0,2,,C
20140304,9:29:55.323,Y,ACW,,4.4,2,4.71,1,R,Y,Y,157843,0,2,,C
20140304,9:29:55.323,Y,ACW,,4.4,2,4.71,2,R,Y,Y,157844,0,2,,C
20140304,9:30:00.083,P,ACW,,4.5,3,4.61,1,R,P,P,159221,6,2,,C
20140304,9:30:00.085,J,ACW,,0,0,5.76,1,R,J,J,159229,0,2,,C
20140304,9:30:00.085,J,ACW,,3.38,1,5.76,1,R,J,J,159232,0,2,,C
20140304,9:30:00.865,W,ACW,,4.41,1,0,0,R,W,W,161158,0,2,,C
20140304,9:30:00.866,W,ACW,,4.41,1,4.7,1,R,W,W,161159,0,2,,C
20140304,9:30:01.326,Z,ACW,,4.51,1,4.61,1,R,Z,Z,164891,6,2,,C
20140304,9:30:02.002,P,ACW,,4.52,3,4.61,1,R,P,P,166891,6,2,,C
20140304,9:30:05.326,Z,ACW,,4.49,1,4.61,1,R,Z,Z,172384,0,2,,C
20140304,9:30:08.894,W,ACW,,0,0,4.7,1,R,W,W,178407,0,2,,C
20140304,9:30:08.894,W,ACW,,4.43,1,4.7,1,R,W,W,178408,0,2,,C
20140304,9:30:16.855,Z,ACW,,4.53,1,4.61,1,R,Z,Z,191132,6,2,,C
20140304,9:30:16.855,P,ACW,,4.53,3,4.61,1,R,P,P,191133,6,2,,C
20140304,9:30:19.795,W,ACW,,0,0,4.7,1,R,W,W,193492,0,2,,C
20140304,9:30:19.795,W,ACW,,4.44,1,4.7,1,R,W,W,193493,0,2,,C
20140304,9:30:20.401,Z,ACW,,4.49,1,4.61,1,R,Z,Z,193870,0,2,,C
20140304,9:30:30.017,P,ACW,,4.59,4,4.61,1,R,P,P,201683,6,2,,C
20140304,9:30:30.019,Y,ACW,,4.4,1,4.71,2,R,Y,Y,201700,0,2,,C
20140304,9:30:30.019,Y,ACW,,4.26,1,4.71,2,R,Y,Y,201701,0,2,,C
20140304,9:30:30.019,Y,ACW,,4.26,1,4.71,1,R,Y,Y,201703,0,2,,C
20140304,9:30:30.019,Y,ACW,,4.26,1,4.94,1,R,Y,Y,201704,0,2,,C
20140304,9:30:30.066,Y,ACW,,4.49,1,4.94,1,R,Y,Y,201921,0,2,,C
20140304,9:30:30.066,Y,ACW,,4.49,1,4.71,1,R,Y,Y,201922,0,2,,C
20140304,9:30:30.103,Y,ACW,,4.49,2,4.71,1,R,Y,Y,202005,0,2,,C
20140304,9:30:30.103,Y,ACW,,4.49,2,4.71,2,R,Y,Y,202006,0,2,,C
20140304,9:30:30.249,W,ACW,,0,0,4.7,1,R,W,W,202150,0,2,,C
20140304,9:30:30.249,W,ACW,,4.5,1,4.7,1,R,W,W,202152,0,2,,C
20140304,9:30:31.109,P,ACW,,4.49,2,4.61,1,R,P,P,202810,6,2,,C
20140304,9:30:31.110,P,ACW,,4.5,3,4.61,1,R,P,P,202819,6,2,,C
20140304,9:30:31.111,Y,ACW,,4.49,1,4.71,2,R,Y,Y,202836,0,2,,C
20140304,9:30:31.111,Y,ACW,,4.18,1,4.71,2,R,Y,Y,202837,0,2,A,C
20140304,9:30:31.112,Y,ACW,,4.18,1,4.71,1,R,Y,Y,202838,0,2,A,C
20140304,9:30:31.112,Y,ACW,,4.18,1,4.94,1,R,Y,Y,202839,0,2,A,C
20140304,9:30:31.112,Y,ACW,,4.18,1,4.94,1,R,Y,Y,202840,0,2,,C
20140304,9:30:31.112,Y,ACW,,4.41,1,4.94,1,R,Y,Y,202841,0,2,,C
20140304,9:30:31.112,Y,ACW,,4.41,1,4.71,1,R,Y,Y,202842,0,2,,C
20140304,9:30:31.112,Z,ACW,,4.5,2,4.61,1,R,Z,Z,202844,0,2,,C
20140304,9:30:31.125,W,ACW,,0,0,4.7,1,R,W,W,202855,0,2,,C
20140304,9:30:31.126,W,ACW,,4.41,1,4.7,1,R,W,W,202857,0,2,,C
20140304,9:30:31.175,Y,ACW,,4.41,2,4.71,1,R,Y,Y,202874,0,2,,C
20140304,9:30:31.175,Y,ACW,,4.41,2,4.71,2,R,Y,Y,202875,0,2,,C
20140304,9:30:35.982,Z,ACW,,4.49,1,4.61,1,R,Z,Z,207195,0,2,,C
20140304,9:30:35.986,Z,ACW,,4.51,1,4.61,1,R,Z,Z,207200,6,2,,C
20140304,9:30:35.986,P,ACW,,4.52,3,4.61,1,R,P,P,207201,6,2,,C
20140304,9:30:36.035,W,ACW,,0,0,4.7,1,R,W,W,207239,0,2,,C
20140304,9:30:36.035,W,ACW,,4.43,1,4.7,1,R,W,W,207240,0,2,,C
20140304,9:30:37.468,Z,ACW,,4.49,1,4.61,1,R,Z,Z,208036,0,2,,C
20140304,9:30:37.469,Z,ACW,,4.53,1,4.61,1,R,Z,Z,208038,6,2,,C
20140304,9:30:37.469,P,ACW,,4.53,3,4.61,1,R,P,P,208039,6,2,,C
20140304,9:30:37.491,W,ACW,,0,0,4.7,1,R,W,W,208046,0,2,,C
20140304,9:30:37.491,W,ACW,,4.44,1,4.7,1,R,W,W,208047,0,2,,C
20140304,9:30:41.986,Z,ACW,,4.49,1,4.61,1,R,Z,Z,211500,0,2,,C
20140304,9:30:42.243,Z,ACW,,4.54,1,4.61,1,R,Z,Z,211580,6,2,,C
20140304,9:30:42.243,P,ACW,,4.49,1,4.61,1,R,P,P,211581,0,2,,C
20140304,9:30:42.293,W,ACW,,0,0,4.7,1,R,W,W,211588,0,2,,C
20140304,9:30:42.293,W,ACW,,4.45,1,4.7,1,R,W,W,211589,0,2,,C
20140304,9:30:45.156,T,ACW,,4.55,1,4.61,1,R,T,T,213940,6,2,,C
20140304,9:30:45.157,N,ACW,,4.6,1,4.62,8,O,N,N,213941,6,2,,C
20140304,9:30:45.157,Z,ACW,,4.49,1,4.61,1,R,Z,Z,213943,0,2,,C
20140304,9:30:45.158,J,ACW,,4.14,1,5.76,1,R,J,J,213944,0,2,,C
20140304,9:30:45.158,J,ACW,,4.27,1,5.76,1,R,J,J,213946,0,2,,C
20140304,9:30:45.158,N,ACW,,4.6,1,4.65,8,R,N,N,213947,0,2,,C
20140304,9:30:45.159,Y,ACW,,4.41,1,4.71,2,R,Y,Y,213948,0,2,,C
20140304,9:30:45.159,Y,ACW,,4.27,1,4.71,2,R,Y,Y,213949,0,2,,C
20140304,9:30:45.159,Y,ACW,,4.27,1,4.71,1,R,Y,Y,213950,0,2,,C
20140304,9:30:45.159,Y,ACW,,4.27,1,4.94,1,R,Y,Y,213951,0,2,,C
20140304,9:30:45.161,N,ACW,,4.6,1,4.65,8,R,N,N,213953,0,2,A,C
20140304,9:30:45.170,P,ACW,,4.6,1,4.61,1,R,P,P,213958,0,2,,C
20140304,9:30:45.171,N,ACW,,4.6,1,4.65,7,R,N,N,213959,6,2,,C
20140304,9:30:45.171,P,ACW,,4.49,1,4.61,1,R,P,P,213960,6,2,,C
20140304,9:30:45.173,N,ACW,,4.6,1,4.65,8,R,N,N,213961,0,2,,C
20140304,9:30:45.178,J,ACW,,4.27,1,4.94,1,R,J,J,213982,0,2,,C
20140304,9:30:45.188,N,ACW,,4.58,1,4.65,8,R,N,N,214007,6,2,,C
20140304,9:30:45.194,P,ACW,,4.58,1,4.61,1,R,P,P,214018,0,2,,C
20140304,9:30:45.195,D,ACW,,3.65,10,0,0,R,D,D,214022,0,1,A,C
20140304,9:30:45.195,D,ACW,,3.89,1,0,0,R,D,D,214023,0,1,A,C
20140304,9:30:45.196,D,ACW,,3.89,1,7,5,R,D,D,214027,0,1,A,C
20140304,9:30:45.196,P,ACW,,4.49,1,4.61,1,R,P,P,214028,0,0,A,C
20140304,9:30:45.196,D,ACW,,3.89,1,6,2,R,D,D,214029,0,1,A,C
20140304,9:30:45.196,P,ACW,,4.58,1,4.61,1,R,P,P,214030,0,0,A,C
20140304,9:30:45.200,P,ACW,,4.49,1,4.61,1,R,P,P,214031,0,0,A,C
20140304,9:30:45.205,Y,ACW,,4.48,1,4.94,1,R,Y,Y,214035,0,0,A,C
