symbol,DATE,TIME_M,EX,TR_SCOND,SIZE,PRICE
ACW,20140304,9:30:45.155,P,Q,137,4.6
ACW,20140304,9:30:45.155,P,@,137,4.6
ACW,20140304,9:30:45.155,P,@,263,4.6
ACW,20140304,9:30:45.155,P,@,200,4.6
ACW,20140304,9:30:45.156,N,O,8201,4.62
ACW,20140304,9:30:45.188,N,F,100,4.6
ACW,20140304,9:30:45.216,N,@,100,4.6
ACW,20140304,9:30:45.241,D,4,205,4.62
ACW,20140304,9:30:54.172,K,@,100,4.61
ACW,20140304,9:31:47.137,N,@,200,4.65
ACW,20140304,9:31:47.139,N,F,500,4.65
ACW,20140304,9:31:47.141,N,I,90,4.65
ACW,20140304,9:31:51.504,N,@,1800,4.71
ACW,20140304,9:31:51.522,D,@,700,4.71
ACW,20140304,9:32:17.504,N,@,200,4.71
ACW,20140304,9:32:27.541,N,@,1100,4.71
ACW,20140304,9:32:27.543,K,@,800,4.7
ACW,20140304,9:32:27.555,K,F,600,4.71
ACW,20140304,9:32:43.283,K,@,200,4.71
ACW,20140304,9:32:43.546,N,@,100,4.73
ACW,20140304,9:32:47.877,K,@,100,4.75
ACW,20140304,9:32:55.370,N,@,100,4.79
ACW,20140304,9:32:55.371,T,F,100,4.77
ACW,20140304,9:32:55.371,T,Q,100,4.77
ACW,20140304,9:32:55.618,N,@,100,4.78
ACW,20140304,9:33:08.009,N,F,100,4.77
ACW,20140304,9:33:08.036,B,F,200,4.77
ACW,20140304,9:33:08.294,T,F I,21,4.76
ACW,20140304,9:33:12.598,D,@,100,4.76
ACW,20140304,9:33:12.607,Z,@,100,4.76
ACW,20140304,9:33:12.607,B,@,100,4.76
ACW,20140304,9:33:12.608,N,@,100,4.76
ACW,20140304,9:33:12.614,P,@,100,4.74
ACW,20140304,9:33:12.615,N,@,140,4.74
ACW,20140304,9:33:12.653,T,@,100,4.76
ACW,20140304,9:33:12.659,T,@,100,4.75
ACW,20140304,9:33:12.665,T,@,100,4.74
ACW,20140304,9:33:12.665,Z,I,60,4.75
ACW,20140304,9:33:12.671,N,@,160,4.73
ACW,20140304,9:33:12.717,N,F,100,4.73
ACW,20140304,9:34:00.222,P,@,100,4.74
ACW,20140304,9:34:00.223,N,F,300,4.74
ACW,20140304,9:34:00.250,B,F,100,4.74
ACW,20140304,9:34:00.250,T,F,100,4.74
ACW,20140304,9:34:00.250,B,F,100,4.74
ACW,20140304,9:34:32.047,D,@,750,4.7202
ACW,20140304,9:34:49.342,N,@,100,4.76
ACW,20140304,9:35:03.680,D,@,100,4.7525
ACW,20140304,9:35:03.682,D,@,300,4.758
ACW,20140304,9:35:04.794,D,@,100,4.7525
ACW,20140304,9:35:04.797,D,@,300,4.758
ACW,20140304,9:35:06.065,D,@,300,4.758
ACW,20140304,9:35:06.067,D,@,100,4.7525
ACW,20140304,9:35:19.709,T,@,200,4.76
ACW,20140304,9:35:35.474,B,F,200,4.76
ACW,20140304,9:35:35.474,N,F,100,4.76
ACW,20140304,9:35:35.518,D,@,100,4.76
ACW,20140304,9:36:27.554,N,@,100,4.75
ACW,20140304,9:36:27.554,N,F,100,4.74
ACW,20140304,9:36:27.554,N,F,100,4.73
ACW,20140304,9:36:27.554,B,F,100,4.75
ACW,20140304,9:36:27.554,B,F,100,4.75
ACW,20140304,9:36:27.622,N,F,100,4.76
ACW,20140304,9:36:33.699,D,I,9,4.77
ACW,20140304,9:37:02.970,D,@,400,4.758
ACW,20140304,9:37:04.289,D,@,100,4.76
ACW,20140304,9:37:04.292,D,@,300,4.758
ACW,20140304,9:37:05.915,D,@,400,4.758
ACW,20140304,9:37:07.557,K,F I,4,4.76
ACW,20140304,9:37:09.383,K,@,100,4.76
ACW,20140304,9:37:32.345,K,I,96,4.765
ACW,20140304,9:37:32.405,N,@,100,4.78
ACW,20140304,9:37:35.310,D,@,100,4.78
ACW,20140304,9:37:35.318,T,F,100,4.78
ACW,20140304,9:37:35.318,P,F,100,4.78
ACW,20140304,9:37:35.318,K,F,100,4.78
ACW,20140304,9:37:35.434,N,F,100,4.79
ACW,20140304,9:37:35.568,D,@,400,4.78
ACW,20140304,9:37:35.620,D,@,100,4.78
ACW,20140304,9:37:40.719,D,@,200,4.8
ACW,20140304,9:37:40.721,D,@,300,4.8
ACW,20140304,9:37:44.605,N,F,1000,4.8
ACW,20140304,9:37:45.216,D,I,66,4.7801
ACW,20140304,9:37:47.752,N,@,200,4.8
ACW,20140304,9:37:49.030,K,@,100,4.81
ACW,20140304,9:37:49.031,N,@,100,4.81
ACW,20140304,9:37:49.032,K,@,900,4.81
ACW,20140304,9:37:52.414,N,F,100,4.84
ACW,20140304,9:37:52.416,K,F,400,4.85
ACW,20140304,9:37:52.423,B,F,100,4.83
ACW,20140304,9:37:52.425,Z,F,100,4.85
ACW,20140304,9:38:07.146,P,F,300,4.97
ACW,20140304,9:38:07.147,N,F,100,4.98
ACW,20140304,9:38:07.153,D,F,100,4.98
ACW,20140304,9:38:07.239,D,@,100,4.98
ACW,20140304,9:38:07.240,D,@,200,4.98
ACW,20140304,9:38:09.506,N,@,400,4.95
ACW,20140304,9:38:09.510,B,F,200,4.95
ACW,20140304,9:38:09.548,D,@,100,4.94
ACW,20140304,9:38:09.763,N,@,100,4.88
ACW,20140304,9:38:09.770,D,@,100,4.8801
ACW,20140304,9:38:09.774,D,@,750,4.85
ACW,20140304,9:38:19.684,N,@,100,4.9
ACW,20140304,9:38:21.534,N,F,100,4.91
ACW,20140304,9:39:08.342,D,@,100,4.92
ACW,20140304,9:39:35.200,P,@,100,4.92
ACW,20140304,9:39:35.201,K,F,100,4.91
ACW,20140304,9:39:35.201,Y,F,100,4.91
ACW,20140304,9:39:35.201,K,F,100,4.91
ACW,20140304,9:39:35.201,N,F,200,4.91
ACW,20140304,9:39:35.204,N,F,100,4.9
ACW,20140304,9:39:35.206,Z,F,100,4.885
ACW,20140304,9:39:35.206,Z,F I,16,4.88
ACW,20140304,9:39:35.207,T,F I,23,4.89
ACW,20140304,9:39:35.208,N,F,100,4.87
ACW,20140304,9:39:35.209,P,@,100,4.85
ACW,20140304,9:39:35.210,B,I,84,4.85
ACW,20140304,9:39:35.211,T,F,200,4.85
ACW,20140304,9:39:35.211,B,I,16,4.85
ACW,20140304,9:39:35.211,B,I,12,4.85
ACW,20140304,9:39:35.211,J,I,12,4.85
ACW,20140304,9:39:35.211,J,I,16,4.85
ACW,20140304,9:39:35.219,D,@,100,4.85
ACW,20140304,9:40:27.324,P,@,100,4.85
ACW,20140304,9:40:27.325,N,F,400,4.85
ACW,20140304,9:40:27.352,P,@,100,4.85
ACW,20140304,9:40:27.352,Z,F,100,4.865
ACW,20140304,9:40:27.352,B,F,200,4.85
ACW,20140304,9:40:27.352,P,F,256,4.84
ACW,20140304,9:40:27.353,P,F,644,4.84
ACW,20140304,9:40:42.027,D,@,200,4.879
ACW,20140304,9:40:52.728,D,@,200,4.851
ACW,20140304,9:40:52.730,D,@,100,4.851
ACW,20140304,9:40:52.738,D,@,100,4.85
ACW,20140304,9:41:04.438,B,F,100,4.85
ACW,20140304,9:41:04.484,P,F,100,4.84
ACW,20140304,9:41:04.484,T,F,500,4.84
ACW,20140304,9:41:04.485,P,@,500,4.84
ACW,20140304,9:41:04.499,T,@,100,4.84
ACW,20140304,9:41:05.192,T,I,54,4.82
ACW,20140304,9:41:05.203,D,I,46,4.78
ACW,20140304,9:41:06.105,B,@,100,4.84
ACW,20140304,9:41:06.106,Y,@,100,4.84
ACW,20140304,9:41:06.106,N,F,100,4.84
ACW,20140304,9:42:11.583,Z,@,100,4.845
ACW,20140304,9:42:11.589,Z,@,100,4.845
ACW,20140304,9:42:11.590,P,@,100,4.855
ACW,20140304,9:42:11.590,T,@,100,4.855
ACW,20140304,9:42:11.593,D,@,100,4.855
ACW,20140304,9:42:11.597,D,@,100,4.855
