symbol,DATE,TIME_M,EX,TR_SCOND,SIZE,PRICE
ALG,20140304,9:30:00.674,T,O X,100,52.3
ALG,20140304,9:30:00.675,T,Q,100,52.3
ALG,20140304,9:31:13.562,N,O,656,51.98
ALG,20140304,9:31:13.664,N,F I,2,52
ALG,20140304,9:31:13.686,Z,F I,5,52.03
ALG,20140304,9:31:14.298,P,Q,3,52.06
ALG,20140304,9:31:14.298,P,F I,3,52.06
ALG,20140304,9:32:36.676,D,F,200,51.556
ALG,20140304,9:33:01.320,D,@,100,52.1
ALG,20140304,9:33:03.638,D,@,100,52.132
ALG,20140304,9:37:48.021,P,I,3,52.48
ALG,20140304,9:37:59.179,N,@,100,52.47
ALG,20140304,9:37:59.179,N,@,100,52.48
ALG,20140304,9:37:59.186,N,F I,4,52.48
ALG,20140304,9:37:59.187,N,F I,3,52.49
ALG,20140304,9:37:59.187,N,F I,31,52.5
ALG,20140304,9:37:59.187,Z,I,3,52.45
ALG,20140304,9:39:11.633,N,F I,69,52.5
ALG,20140304,9:39:11.633,N,F I,31,52.52
ALG,20140304,9:41:16.294,N,@,100,52.68
ALG,20140304,9:45:02.036,Z,I,2,52.45
ALG,20140304,9:45:02.037,Z,I,3,52.52
ALG,20140304,9:45:40.971,D,@,100,52.93
ALG,20140304,9:45:52.123,P,I,3,52.9
ALG,20140304,9:48:09.796,D,I,84,52.9
ALG,20140304,9:48:37.130,D,@,100,52.9
ALG,20140304,9:49:43.937,D,I,1,52.39
ALG,20140304,9:50:33.371,T,@,200,52.67
ALG,20140304,9:50:45.697,D,@,100,52.8999
ALG,20140304,9:50:46.178,D,@,100,52.85
ALG,20140304,9:52:12.161,J,I,4,52.9
ALG,20140304,9:53:09.198,J,I,7,52.5
ALG,20140304,9:54:04.334,D,@,100,52.83
ALG,20140304,9:54:06.853,J,F,100,52.83
ALG,20140304,9:54:06.853,P,F I,2,52.83
ALG,20140304,9:54:06.853,K,F I,98,52.93
ALG,20140304,9:54:10.033,K,I,2,52.93
ALG,20140304,9:54:10.033,K,I,1,52.95
ALG,20140304,9:55:12.549,T,@,100,52.77
ALG,20140304,9:55:12.564,N,@,100,53
ALG,20140304,9:59:18.545,Z,I,7,52.96
ALG,20140304,9:59:18.546,Z,I,4,53.02
ALG,20140304,9:59:18.546,Z,I,11,53.1
ALG,20140304,9:59:18.562,J,I,78,53.43
ALG,20140304,9:59:31.249,D,@,100,53.43
ALG,20140304,9:59:43.116,N,I,8,53.32
ALG,20140304,9:59:43.116,N,I,92,53.44
ALG,20140304,10:01:29.155,D,F I,10,52.875
ALG,20140304,10:02:06.113,D,I,25,52.84
ALG,20140304,10:02:46.549,N,F,100,53.37
ALG,20140304,10:02:51.040,P,I,3,53.44
ALG,20140304,10:09:27.903,P,@,100,53.44
ALG,20140304,10:09:27.905,D,@,100,53.44
ALG,20140304,10:09:27.954,N,F I,29,53.44
ALG,20140304,10:09:27.957,K,F I,71,53.44
ALG,20140304,10:11:41.033,P,I,3,53.64
ALG,20140304,10:14:17.545,T,I,4,53.52
ALG,20140304,10:14:17.545,T,@,196,53.69
ALG,20140304,10:15:09.711,N,F I,10,53.52
ALG,20140304,10:15:23.318,D,@,200,53.4601
ALG,20140304,10:15:35.040,K,I,26,53.47
ALG,20140304,10:17:44.937,D,F I,12,53.5575
ALG,20140304,10:19:08.793,T,I,3,53.69
ALG,20140304,10:19:08.807,N,I,3,53.94
ALG,20140304,10:19:08.807,N,@,100,54.04
ALG,20140304,10:19:08.816,T,F I,4,53.97
ALG,20140304,10:19:11.293,Z,I,4,53.82
ALG,20140304,10:19:11.307,N,I,96,54.06
ALG,20140304,10:20:50.055,D,I,3,54.39
ALG,20140304,10:22:17.041,K,I,74,54.39
ALG,20140304,10:24:03.548,K,I,26,54.39
ALG,20140304,10:24:03.548,K,@,174,54.4
ALG,20140304,10:24:33.575,D,I,26,54.4
ALG,20140304,10:26:33.969,D,@,100,54.098
ALG,20140304,10:28:46.253,D,@,276,53.9857
ALG,20140304,10:29:03.598,D,@,100,54.55
ALG,20140304,10:29:03.598,D,@,100,54.55
ALG,20140304,10:29:03.598,D,@,100,54.55
ALG,20140304,10:29:03.670,T,I,90,54.55
ALG,20140304,10:29:43.424,P,I,3,54.3
ALG,20140304,10:29:48.278,P,I,97,54.22
ALG,20140304,10:29:48.891,N,I,55,54.22
ALG,20140304,10:29:56.360,D,F I,12,54.1725
ALG,20140304,10:30:20.061,D,I,3,54.85
ALG,20140304,10:30:22.662,P,F I,3,54.7
ALG,20140304,10:30:22.662,N,F I,1,54.38
ALG,20140304,10:30:22.663,T,F I,2,54.5
ALG,20140304,10:31:48.451,N,F I,66,54.4
ALG,20140304,10:35:52.258,P,@,104,54.81
ALG,20140304,10:35:57.244,N,@,100,54.41
ALG,20140304,10:37:27.554,N,I,45,54.43
ALG,20140304,10:37:55.238,D,I,10,54.39
ALG,20140304,10:40:20.050,T,I,3,54.57
ALG,20140304,10:41:48.526,Z,I,11,54.59
ALG,20140304,10:41:48.530,T,I,4,54.57
ALG,20140304,10:41:48.545,K,I,85,54.81
ALG,20140304,10:45:59.897,K,@,100,54.86
ALG,20140304,10:50:17.542,K,@,100,54.95
ALG,20140304,10:50:51.055,N,I,3,54.94
ALG,20140304,10:53:58.279,D,@,100,54.92
ALG,20140304,10:54:39.692,N,I,7,54.91
ALG,20140304,10:54:39.692,N,I,93,54.92
