DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,BIDEX,ASKEX,QU_SEQNUM,NATBBO_IND,NASDBBO_IND,QU_CANCEL,QU_SOURCE
20140304,4:00:00.267,P,HZO,,0,0,0,0,R,P,P,65,2,2,,C
20140304,7:39:12.964,P,HZO,,0,0,18.29,18,R,P,P,35912,1,2,,C
20140304,7:39:12.969,P,HZO,,0,0,16.99,10,R,P,P,35913,1,2,,C
20140304,7:39:12.972,P,HZO,,10.26,18,16.99,10,R,P,P,35914,1,2,,C
20140304,7:39:12.974,T,HZO,,10.77,1,0,0,R,T,T,35915,6,2,,C
20140304,7:39:12.975,P,HZO,,11.52,18,16.99,10,R,P,P,35916,1,2,,C
20140304,7:39:12.975,T,HZO,,10.77,1,16.14,1,R,T,T,35917,6,2,,C
20140304,7:39:18.995,T,HZO,,0,0,16.14,1,R,T,T,36119,0,2,,C
20140304,7:39:18.996,T,HZO,,12.1,1,16.14,1,R,T,T,36124,1,2,,C
20140304,8:30:14.375,W,HZO,,0,0,0,0,R,W,W,60611,0,2,,C
20140304,8:58:01.699,T,HZO,,12.1,1,18.97,1,R,T,T,86701,6,2,,C
20140304,8:58:01.699,T,HZO,,9.98,1,18.97,1,R,T,T,86702,6,2,,C
20140304,8:58:01.710,T,HZO,,0,0,18.97,1,R,T,T,86709,0,2,,C
20140304,8:58:01.710,T,HZO,,0,0,0,0,R,T,T,86710,0,2,,C
20140304,8:58:01.710,T,HZO,,9.5,1,0,0,R,T,T,86711,0,2,,C
20140304,8:58:01.710,T,HZO,,9.5,1,19.97,1,R,T,T,86712,0,2,,C
20140304,8:59:53.623,T,HZO,,12.1,1,19.97,1,R,T,T,88298,6,2,,C
20140304,8:59:53.645,T,HZO,,12.1,1,16.14,1,R,T,T,88301,1,2,,C
20140304,9:15:53.575,P,HZO,,11.52,18,16.25,1,R,P,P,100277,0,2,,C
20140304,9:15:54.380,P,HZO,,11.52,18,16,1,R,P,P,100288,6,2,,C
20140304,9:15:54.382,T,HZO,,12.1,1,18.97,1,R,T,T,100289,0,2,,C
20140304,9:15:54.383,T,HZO,,12.1,1,15.62,1,R,T,T,100290,1,2,,C
20140304,9:20:49.950,Z,HZO,,0,0,14.38,1,R,Z,Z,104735,6,2,,C
20140304,9:20:49.950,Z,HZO,,14.1,1,14.38,1,R,Z,Z,104748,1,2,,C
20140304,9:20:49.950,T,HZO,,10.16,1,15.62,1,R,T,T,104754,0,2,,C
20140304,9:20:49.950,T,HZO,,10.16,1,18.36,1,R,T,T,104755,0,2,,C
20140304,9:20:49.961,T,HZO,,11.63,1,18.36,1,R,T,T,104800,0,2,,C
20140304,9:20:49.962,T,HZO,,11.63,1,18.4,1,R,T,T,104803,0,2,,C
20140304,9:20:49.962,T,HZO,,11.63,1,16.9,1,R,T,T,104804,0,2,,C
20140304,9:24:31.492,Z,HZO,,14.1,1,14.33,1,R,Z,Z,108081,1,2,,C
20140304,9:25:04.638,Z,HZO,,14.1,1,0,0,R,Z,Z,109080,6,2,,C
20140304,9:25:04.643,Z,HZO,,0,0,0,0,R,Z,Z,109112,6,2,,C
20140304,9:25:04.654,T,HZO,,11.63,1,15.63,1,R,T,T,109146,1,2,,C
20140304,9:25:04.657,T,HZO,,12.21,1,15.63,1,R,T,T,109147,1,2,,C
