DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,TR_SCOND,SIZE,PRICE,TR_STOPIND,TR_CORR,TR_SEQNUM,TR_SOURCE,TR_RF
20140304,9:30:01.428,N,HZO,,O,915,14.25,N,00,6630,C,
20140304,9:30:01.430,N,HZO,,@,1116,14.25,N,00,6634,C,
20140304,9:31:23.746,D,HZO,,@,200,14.392,N,00,12937,C,T
20140304,9:31:23.747,D,HZO,,@,100,14.396,N,00,12938,C,T
20140304,9:31:23.747,D,HZO,,@,100,14.398,N,00,12939,C,T
20140304,9:31:23.763,D,HZO,,@,100,14.4,N,00,12940,C,N
20140304,9:31:23.763,D,HZO,,@,100,14.4,N,00,12941,C,N
20140304,9:31:30.356,D,HZO,,@,100,14.4,N,00,13658,C,T
20140304,9:31:30.358,D,HZO,,@,100,14.4,N,00,13664,C,N
20140304,9:32:14.698,N,HZO,,@,100,14.32,N,00,18907,C,
20140304,9:32:14.700,N,HZO,,@,100,14.33,N,00,18908,C,
20140304,9:32:16.076,D,HZO,,@,100,14.38,N,00,19042,C,T
20140304,9:32:17.198,D,HZO,,@,100,14.4,N,00,19125,C,N
20140304,9:32:27.366,T,HZO,,F,100,14.3,N,00,19877,C,
20140304,9:32:27.367,T,HZO,,Q,100,14.3,N,00,19878,C,
20140304,9:32:30.200,D,HZO,,@,100,14.456,N,00,20139,C,T
20140304,9:32:30.208,D,HZO,,@,100,14.46,N,00,20145,C,N
20140304,9:32:34.117,D,HZO,,@,200,14.49,N,00,20592,C,N
20140304,9:32:34.117,D,HZO,,@,100,14.49,N,00,20593,C,N
20140304,9:32:39.798,D,HZO,,@,8000,14.25,N,00,21344,C,T
20140304,9:32:39.800,Z,HZO,,@,200,14.43,N,00,21345,C,
20140304,9:32:39.801,Z,HZO,,@,200,14.44,N,00,21346,C,
20140304,9:32:41.163,N,HZO,,F,100,14.49,N,00,21448,C,
20140304,9:32:59.082,D,HZO,,@,100,14.48,N,00,23236,C,N
20140304,9:32:59.082,D,HZO,,@,100,14.48,N,00,23237,C,N
20140304,9:33:09.042,K,HZO,,@,100,14.46,N,00,24623,C,
20140304,9:33:43.465,N,HZO,,@,100,14.47,N,00,27482,C,
20140304,9:33:43.466,N,HZO,,I,19,14.47,N,00,27483,C,
20140304,9:33:43.468,N,HZO,,I,81,14.5,N,00,27484,C,
20140304,9:33:43.500,N,HZO,,F,200,14.5,N,00,27485,C,
20140304,9:33:43.502,N,HZO,,F,100,14.5,N,00,27486,C,
20140304,9:34:08.078,N,HZO,,@,300,14.47,N,00,29920,C,
20140304,9:34:08.091,T,HZO,,@,100,14.49,N,00,29921,C,
20140304,9:34:08.107,P,HZO,,Q,100,14.47,N,00,29922,C,
20140304,9:34:08.107,P,HZO,,F,100,14.47,N,00,29923,C,
20140304,9:34:08.107,P,HZO,,F,100,14.47,N,00,29924,C,
20140304,9:34:08.107,P,HZO,,F I,1,14.47,N,00,29925,C,
20140304,9:34:08.107,P,HZO,,F,100,14.47,N,00,29926,C,
20140304,9:34:08.127,P,HZO,,F,100,14.47,N,00,29929,C,
20140304,9:34:10.442,B,HZO,,I,7,14.42,N,00,30086,C,
20140304,9:35:12.227,N,HZO,,@,100,14.48,N,00,36951,C,
20140304,9:35:12.227,N,HZO,,@,100,14.5,N,00,36952,C,
20140304,9:35:20.078,D,HZO,,@,100,14.39,N,00,37820,C,T
20140304,9:35:20.083,D,HZO,,@,100,14.39,N,00,37821,C,T
20140304,9:35:20.092,D,HZO,,@,100,14.445,N,00,37822,C,T
20140304,9:35:20.092,Z,HZO,,@,100,14.445,N,00,37823,C,
20140304,9:35:20.093,D,HZO,,@,100,14.445,N,00,37824,C,T
20140304,9:35:20.102,D,HZO,,@,100,14.445,N,00,37825,C,T
20140304,9:35:20.103,D,HZO,,@,100,14.445,N,00,37826,C,T
20140304,9:35:20.103,D,HZO,,@,100,14.445,N,00,37827,C,T
20140304,9:35:20.108,D,HZO,,@,100,14.39,N,00,37828,C,T
20140304,9:35:20.110,D,HZO,,@,100,14.39,N,00,37829,C,T
20140304,9:35:53.625,B,HZO,,@,100,14.5,N,00,41996,C,
20140304,9:36:53.298,N,HZO,,I,2,14.5,N,00,48575,C,
20140304,9:37:25.462,N,HZO,,@,100,14.5,N,00,52327,C,
20140304,9:37:27.605,T,HZO,,F I,1,14.49,N,00,52569,C,
20140304,9:38:54.318,N,HZO,,@,200,14.5,N,00,61413,C,
20140304,9:39:17.304,P,HZO,,F,100,14.5,N,00,63220,C,
20140304,9:39:17.304,T,HZO,,F I,99,14.49,N,00,63221,C,
20140304,9:39:17.304,K,HZO,,F,200,14.5,N,00,63222,C,
20140304,9:39:17.304,T,HZO,,F I,1,14.5,N,00,63223,C,
20140304,9:39:17.305,T,HZO,,F,100,14.5,N,00,63224,C,
20140304,9:39:17.305,T,HZO,,F I,99,14.5,N,00,63225,C,
20140304,9:39:17.309,N,HZO,,@,100,14.56,N,00,63226,C,
20140304,9:39:17.324,K,HZO,,I,17,14.5,N,00,63227,C,
20140304,9:39:44.126,N,HZO,,I,17,14.64,N,00,65853,C,
20140304,9:39:44.126,N,HZO,,I,83,14.65,N,00,65854,C,
20140304,9:40:23.162,D,HZO,,@,200,14.65,N,00,70635,C,N
20140304,9:41:23.628,N,HZO,,@,100,14.64,N,00,77839,C,
20140304,9:41:39.159,K,HZO,,F,100,14.66,N,00,79129,C,
20140304,9:41:51.217,D,HZO,,@,100,14.62,N,00,80473,C,T
20140304,9:41:52.008,T,HZO,,@,100,14.68,N,00,80557,C,
20140304,9:41:54.726,B,HZO,,I,52,14.62,N,00,80830,C,
20140304,9:41:54.727,D,HZO,,@,100,14.63,N,00,80831,C,T
20140304,9:41:54.727,N,HZO,,@,100,14.62,N,00,80832,C,
20140304,9:41:54.728,B,HZO,,I,48,14.62,N,00,80833,C,
20140304,9:41:54.728,Y,HZO,,@,100,14.61,N,00,80834,C,
20140304,9:41:54.729,B,HZO,,I,52,14.61,N,00,80835,C,
20140304,9:41:54.729,P,HZO,,I,1,14.61,N,00,80836,C,
20140304,9:41:54.729,N,HZO,,@,100,14.61,N,00,80837,C,
20140304,9:41:54.729,T,HZO,,I,40,14.61,N,00,80838,C,
20140304,9:41:54.730,P,HZO,,I,52,14.61,N,00,80839,C,
20140304,9:41:54.730,P,HZO,,F I,1,14.61,N,00,80840,C,
20140304,9:41:54.730,P,HZO,,I,47,14.61,N,00,80841,C,
20140304,9:41:54.733,K,HZO,,F I,52,14.56,N,00,80842,C,
20140304,9:41:54.743,P,HZO,,@,100,14.61,N,00,80843,C,
20140304,9:41:54.884,P,HZO,,@,100,14.61,N,00,80849,C,
20140304,9:41:54.885,P,HZO,,I,52,14.61,N,00,80850,C,
20140304,9:41:55.045,D,HZO,,@,100,14.645,N,00,80869,C,T
20140304,9:42:26.756,N,HZO,,@,100,14.67,N,00,83844,C,
20140304,9:43:37.561,N,HZO,,@,100,14.67,N,00,89806,C,
20140304,9:43:37.564,D,HZO,,@,100,14.64,N,00,89808,C,T
20140304,9:44:30.369,P,HZO,,@,100,14.65,N,00,93908,C,
20140304,9:44:30.373,N,HZO,,@,100,14.66,N,00,93915,C,
20140304,9:44:30.378,Z,HZO,,@,100,14.635,N,00,93917,C,
20140304,9:45:28.223,N,HZO,,@,100,14.68,N,00,98534,C,
20140304,9:45:29.214,B,HZO,,F I,10,14.61,N,00,98606,C,
20140304,9:45:29.225,D,HZO,,@,100,14.6,N,00,98607,C,T
20140304,9:45:33.226,N,HZO,,@,100,14.68,N,00,99088,C,
20140304,9:46:02.031,P,HZO,,@,100,14.68,N,00,102182,C,
20140304,9:47:16.327,N,HZO,,@,200,14.69,N,00,108596,C,
20140304,9:48:50.245,N,HZO,,@,200,14.69,N,00,116449,C,
20140304,9:48:50.253,K,HZO,,I,20,14.66,N,00,116450,C,
20140304,9:48:50.393,T,HZO,,I,80,14.68,N,00,116455,C,
20140304,9:49:36.301,T,HZO,,I,20,14.68,N,00,120531,C,
20140304,9:49:43.061,D,HZO,,I,2,14.62,N,00,121297,C,T
20140304,9:50:24.161,N,HZO,,@,100,14.68,N,00,125338,C,
20140304,9:50:24.163,D,HZO,,@,100,14.68,N,00,125339,C,T
20140304,9:50:40.847,P,HZO,,@,100,14.68,N,00,126768,C,
20140304,9:50:40.913,P,HZO,,F,100,14.68,N,00,126773,C,
20140304,9:51:58.080,T,HZO,,@,100,14.69,N,00,136146,C,
20140304,9:51:58.080,P,HZO,,I,90,14.69,N,00,136147,C,
20140304,9:51:58.080,P,HZO,,F I,10,14.69,N,00,136148,C,
20140304,9:51:58.080,P,HZO,,F I,92,14.69,N,00,136149,C,
20140304,9:52:00.658,K,HZO,,I,2,14.68,N,00,136630,C,
20140304,9:53:28.851,D,HZO,,@,200,14.75,N,00,144374,C,T
20140304,9:53:28.860,P,HZO,,I,2,14.74,N,00,144376,C,
20140304,9:53:28.860,Z,HZO,,I,2,14.74,N,00,144377,C,
20140304,9:53:28.860,P,HZO,,I,98,14.75,N,00,144378,C,
20140304,9:53:28.860,Z,HZO,,I,98,14.75,N,00,144379,C,
20140304,9:53:28.863,P,HZO,,I,2,14.79,N,00,144381,C,
20140304,9:53:30.749,D,HZO,,@,100,14.765,N,00,144805,C,T
20140304,9:53:59.206,X,HZO,,@,100,14.81,N,00,146479,C,
20140304,9:54:39.877,T,HZO,,I,30,14.86,N,00,149720,C,
20140304,9:54:39.880,Z,HZO,,I,70,14.85,N,00,149721,C,
20140304,9:54:59.627,D,HZO,,@,100,14.87,N,00,150801,C,N
20140304,9:55:41.165,D,HZO,,@,100,14.82,N,00,154876,C,T
20140304,9:56:30.385,D,HZO,,@,200,14.86,N,00,158362,C,N
20140304,9:57:06.797,P,HZO,,@,100,14.83,N,00,162031,C,
20140304,9:57:06.798,D,HZO,,@,100,14.845,N,00,162032,C,T
20140304,9:57:06.798,N,HZO,,@,200,14.83,N,00,162033,C,
20140304,9:57:06.798,D,HZO,,@,100,14.845,N,00,162034,C,T
20140304,9:57:06.798,Z,HZO,,@,100,14.845,N,00,162035,C,
20140304,9:57:06.798,T,HZO,,@,100,14.84,N,00,162036,C,
20140304,9:57:06.798,K,HZO,,@,100,14.845,N,00,162037,C,
20140304,9:57:06.799,P,HZO,,I,1,14.79,N,00,162038,C,
20140304,9:57:06.799,T,HZO,,I,28,14.79,N,00,162039,C,
20140304,9:57:06.800,T,HZO,,@,100,14.83,N,00,162041,C,
20140304,9:57:06.802,D,HZO,,@,100,14.832,N,00,162042,C,T
20140304,9:57:06.805,D,HZO,,@,100,14.84,N,00,162043,C,N
20140304,9:57:06.951,P,HZO,,@,100,14.83,N,00,162048,C,
20140304,9:57:06.952,Z,HZO,,@,100,14.83,N,00,162049,C,
20140304,9:57:06.953,P,HZO,,@,100,14.83,N,00,162050,C,
20140304,9:57:17.093,K,HZO,,F,100,14.82,N,00,163229,C,
20140304,9:57:17.093,N,HZO,,F,100,14.82,N,00,163230,C,
20140304,9:57:28.612,D,HZO,,@,200,14.878,N,00,163822,C,T
20140304,9:57:30.053,B,HZO,,I,68,14.83,N,00,163968,C,
20140304,9:57:30.053,D,HZO,,@,100,14.865,N,00,163969,C,T
20140304,9:57:30.055,B,HZO,,I,32,14.83,N,00,163970,C,
20140304,9:57:30.659,N,HZO,,@,200,14.84,N,00,164213,C,
20140304,9:57:30.659,N,HZO,,@,100,14.83,N,00,164214,C,
20140304,9:57:43.670,D,HZO,,@,100,14.87,N,00,165081,C,T
20140304,9:57:43.680,D,HZO,,@,300,14.87,N,00,165085,C,T
20140304,9:57:43.680,D,HZO,,@,400,14.87,N,00,165086,C,T
20140304,9:59:25.172,T,HZO,,@,100,14.85,N,00,173467,C,
20140304,9:59:33.671,K,HZO,,@,100,14.85,N,00,174268,C,
20140304,9:59:44.150,K,HZO,,@,193,14.85,N,00,174867,C,
20140304,10:00:03.128,D,HZO,,@,100,14.835,N,00,177137,C,T
20140304,10:00:04.607,K,HZO,,F,100,14.85,N,00,177280,C,
20140304,10:00:04.693,P,HZO,,@,100,14.85,N,00,177296,C,
20140304,10:00:04.693,K,HZO,,@,607,14.85,N,00,177297,C,
20140304,10:00:04.694,N,HZO,,F,100,14.87,N,00,177298,C,
20140304,10:00:04.696,Z,HZO,,@,100,14.86,N,00,177299,C,
20140304,10:00:04.705,T,HZO,,@,100,14.85,N,00,177301,C,
