DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,TR_SCOND,SIZE,PRICE,TR_STOPIND,TR_CORR,TR_SEQNUM,TR_SOURCE,TR_RF
20140304,8:01:09.760,P,ITG,,T,100,16.78,N,00,1514,C,
20140304,8:01:09.780,P,ITG,,T,550,16.78,N,00,1515,C,
20140304,9:30:01.515,N,ITG,,O,3718,17.16,N,00,6732,C,
20140304,9:30:04.127,D,ITG,,@,100,17.1025,N,00,7028,C,T
20140304,9:31:11.255,N,ITG,,@,100,17.18,N,00,11937,C,
20140304,9:31:11.255,N,ITG,,@,100,17.19,N,00,11938,C,
20140304,9:31:11.256,N,ITG,,@,100,17.19,N,00,11939,C,
20140304,9:31:46.073,P,ITG,,Q,42,17.2,N,00,15461,C,
20140304,9:31:46.073,T,ITG,,@,100,17.2,N,00,15462,C,
20140304,9:31:46.073,P,ITG,,I,42,17.2,N,00,15463,C,
20140304,9:31:46.073,T,ITG,,Q,100,17.2,N,00,15464,C,
20140304,9:31:46.073,K,ITG,,@,100,17.2,N,00,15465,C,
20140304,9:31:46.074,K,ITG,,F,400,17.2,N,00,15466,C,
20140304,9:31:46.170,D,ITG,,@,100,17.19,N,00,15480,C,T
20140304,9:31:48.572,N,ITG,,@,100,17.24,N,00,15705,C,
20140304,9:31:52.428,D,ITG,,@,100,17.225,N,00,15947,C,T
20140304,9:31:52.430,D,ITG,,@,200,17.225,N,00,15948,C,T
20140304,9:31:54.925,D,ITG,,I,7,17.25,N,00,16130,C,T
20140304,9:32:01.092,D,ITG,,@,100,17.23,N,00,17004,C,T
20140304,9:32:02.766,D,ITG,,@,200,17.235,N,00,17201,C,T
20140304,9:32:02.767,D,ITG,,@,100,17.235,N,00,17202,C,T
20140304,9:32:04.464,N,ITG,,F,100,17.24,N,00,17360,C,
20140304,9:32:04.467,D,ITG,,@,100,17.24,N,00,17361,C,T
20140304,9:32:04.482,T,ITG,,@,100,17.24,N,00,17377,C,
20140304,9:32:06.213,K,ITG,,@,100,17.25,N,00,17586,C,
20140304,9:32:06.213,K,ITG,,@,1150,17.25,N,00,17587,C,
20140304,9:32:06.330,D,ITG,,@,100,17.25,N,00,17617,C,T
20140304,9:32:20.893,B,ITG,,@,100,17.36,N,00,19284,C,
20140304,9:32:20.894,D,ITG,,@,100,17.315,N,00,19285,C,T
20140304,9:32:20.906,D,ITG,,@,100,17.38,N,00,19286,C,N
20140304,9:32:22.424,D,ITG,,@,100,17.375,N,00,19433,C,T
20140304,9:32:33.064,P,ITG,,I,12,17.37,N,00,20480,C,
20140304,9:32:55.756,B,ITG,,@,100,17.36,N,00,22981,C,
20140304,9:32:55.757,D,ITG,,@,100,17.31,N,00,22982,C,T
20140304,9:32:55.758,N,ITG,,@,100,17.35,N,00,22983,C,
20140304,9:33:10.982,N,ITG,,F,100,17.35,N,00,24905,C,
20140304,9:33:25.089,P,ITG,,@,100,17.35,N,00,25774,C,
20140304,9:33:30.539,N,ITG,,@,100,17.36,N,00,26526,C,
20140304,9:33:40.449,D,ITG,,@,100,17.315,N,00,27205,C,T
20140304,9:33:40.458,P,ITG,,F,100,17.36,N,00,27206,C,
20140304,9:33:40.458,K,ITG,,F,100,17.36,N,00,27207,C,
20140304,9:33:40.458,K,ITG,,F,200,17.36,N,00,27208,C,
20140304,9:33:40.479,P,ITG,,F,100,17.36,N,00,27210,C,
20140304,9:33:40.536,Z,ITG,,F,100,17.4,N,00,27223,C,
20140304,9:33:40.537,Z,ITG,,F,800,17.4,N,00,27224,C,
20140304,9:33:40.537,Z,ITG,,@,100,17.4,N,00,27225,C,
20140304,9:33:40.589,N,ITG,,F,100,17.36,N,00,27227,C,
20140304,9:33:40.592,P,ITG,,@,100,17.41,N,00,27228,C,
20140304,9:33:40.592,P,ITG,,I,12,17.41,N,00,27229,C,
20140304,9:33:40.592,P,ITG,,I,88,17.41,N,00,27230,C,
20140304,9:33:40.601,Z,ITG,,@,100,17.41,N,00,27232,C,
20140304,9:33:40.602,B,ITG,,I,88,17.41,N,00,27233,C,
20140304,9:33:41.008,Z,ITG,,I,99,17.41,N,00,27259,C,
20140304,9:33:46.009,B,ITG,,F,120,17.4,N,00,27737,C,
20140304,9:34:22.026,T,ITG,,@,100,17.435,N,00,31530,C,
20140304,9:34:33.007,Z,ITG,,@,100,17.435,N,00,32690,C,
20140304,9:34:33.007,J,ITG,,@,100,17.43,N,00,32691,C,
20140304,9:34:33.007,T,ITG,,@,100,17.43,N,00,32700,C,
20140304,9:34:33.008,Z,ITG,,@,100,17.43,N,00,32709,C,
20140304,9:34:33.008,K,ITG,,I,99,17.43,N,00,32711,C,
20140304,9:34:33.008,Z,ITG,,I,70,17.43,N,00,32717,C,
20140304,9:34:33.009,K,ITG,,I,1,17.43,N,00,32724,C,
20140304,9:34:45.255,N,ITG,,@,100,17.42,N,00,33673,C,
20140304,9:35:00.893,D,ITG,,I,7,17.4,N,00,35139,C,T
